카테고리,상품명,제조사,에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg)
국/탕(즉석국),햇땅알곤이알탕,(주)만나푸드,25,2.0,3.0,0.8,397.0
국/탕(즉석국),제주식 내장탕,(주)씨티푸드제2공장,51,2.57,3.14,3.14,449.0
국/탕(즉석국),오봉집 시원한 낙지 연포탕,에스제이씨푸드주식회사,40,2.98,6.56,0.19,543.0
국/탕(즉석국),한끼 든든 고기떡만두국,농업회사법인유한회사굿푸드지점,200,29.8,6.28,6.2,816.0
국/탕(즉석국),더 찐한 사골황태국,(주)태양에프앤씨,366,44.13,34.78,5.63,2922.0
면류,오리엔탈 버섯 파스타,돌아온 수수밭,114,19.8,3.92,3.51,0.0
면류,쉬림프&머쉬룸파스타샐러드,(주)그린키친,129,22.71,3.86,2.38,175.0
면류,불고기 토마토 파스타,농업회사법인(주)담푸른,148,18.8,3.6,6.4,234.0
면류,조르니키친 바질토마토 파스타,(주)에이치에스식품,143,24.4,5.2,6.0,272.0
면류,치킨스파게티,(주)대신씨에프,184,27.34,5.99,5.59,304.0
면류,매콤크림파스타,(주)현대그린푸드스마트푸드센터,176,21.37,6.49,7.21,331.0
면류,짜장 닭다리살 야채볶음밥,주식회사 나비야,135,17.83,7.12,3.89,361.0
면류,마라로제파스타,(주)우양,177,24.0,4.92,6.77,391.0
면류,리본로제파스타,(주)대정,196,22.18,6.34,9.16,426.0
면류,천일냉동토마토파스타,천일식품(주),121,21.43,4.82,1.89,468.0
면류,횡성 메밀막국수,(주)엔-초이스,102,21.07,2.65,1.0,523.0
면류,유비쿡짜장떡볶이,농가식품,237,53.04,4.35,0.87,592.0
면류,일일미식들깨칼국수,농업회사법인(주)대광,194,31.2,6.82,4.44,692.0
면류,가락 김치우동,(주)농가식품,131,29.11,3.76,0.61,848.0
면류,푸딩픽 가쓰오우동,솜씨협동조합,138,28.46,4.62,0.68,1281.0
면류,비폰 인스턴트 치킨향 쌀국수,VIETNAM FOOD INDUSTRIES JOINT STOCK COMPANY,347,71.67,6.67,3.67,2733.0
우유/두유,우지 시그니처우유,학교법인건국대학교건국유업.건국햄,63,4.6,3.0,3.6,0.0
우유/두유,찐~하고달달한딸기맛있는우유GT,남양유업(주),70,10.33,2.33,2.17,40.0
우유/두유,다도글로벌 우유,매일유업(주)평택공장,60,5.0,3.0,3.0,50.0
우유/두유,연세우유 고칼슘,연세대학교 연세유업,67,5.28,3.06,3.72,53.0
우유/두유,카카오랏 오리지널(1L),GRUPO CACAOLAT SL,67,10.2,3.0,1.5,200.0
우유/두유,넘버원써이야 두유,"TAN HIEP PHAT TRADING & SERVICE CO.,LTD.",115,24.0,2.1,1.1,0.0
우유/두유,해남 고구마 두유,(유)삼각에프엠씨웰빙랜드,66,10.09,3.13,1.48,54.0
우유/두유,유기농 약콩 콩물두유,농업회사법인(주)삼광에프앤비,38,2.11,3.16,1.9,73.0
우유/두유,베지밀아몬드와호두두유,정식품(주),63,7.89,0.0,2.63,89.0
우유/두유,마루산 두유 바나나맛,JAPAN AGRICULTURAL COOPERATIVES OF KUMAMOTO FRUITS HAKUSHU PLANT,265,14.0,19.0,15.0,790.0
닭가슴살,닭가슴살간장조림,(주)에코맘의산골이유식,101,18.0,5.0,1.0,0.0
닭가슴살,닭가슴살 슈레드 샐러드,(주)채다원,40,4.06,3.35,1.17,109.0
닭가슴살,커리&씨앗닭가슴살,(주)밥상푸드,169,28.37,8.17,3.37,191.0
닭가슴살,데리야끼 닭가슴살 도시락,농업회사법인(주)별담푸드,120,16.5,9.0,2.0,245.0
닭가슴살,닭가슴살채,주식회사팜스코,90,2.0,18.0,1.3,290.0
닭가슴살,닭가슴살 간편샐러드,주식회사 샐러드마녀,144,9.09,14.55,5.46,327.0
닭가슴살,더블 오믈렛&김치닭가슴살볶음밥,㈜디자인푸드,154,23.2,5.6,4.4,368.0
닭가슴살,닭가슴살현미곤약떡볶이,(주)사랑과정성,150,28.82,6.47,1.24,406.0
닭가슴살,마루닭 조각 닭가슴살 오리지널,(주)친한F&B,106,1.19,23.77,0.68,449.0
닭가슴살,닭가슴살 ny1,농업회사법인주식회사수지스링크,120,2.0,25.0,1.0,500.0
두부,HEYROO두부득템,(주)에스앤푸드,90,3.0,8.0,5.0,0.0
두부,푸르델 국산콩 찌개용 조각두부,푸드라인,62,2.8,6.4,2.8,2.0
두부,행복한콩 유기농 두부 부침용,(주)꿈꾸는콩,90,2.0,7.0,6.0,5.0
